,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,CLUSTER
31,2.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4
32,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,5.0,1
33,3.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,3
34,2.0,2.0,0.0,2.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,3
35,1.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,3.0,4
36,5.0,1.0,4.0,1.0,5.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2
37,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,3
38,2.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,1
39,5.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,4.0,1
40,2.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4
41,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,4
42,3.0,3.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0,1
43,2.0,1.0,4.0,1.0,5.0,2.0,2.0,5.0,1.0,3.0,4.0,0.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,4.0,3.0,1
44,2.0,4.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,1
45,3.0,1.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,2
46,4.0,2.0,4.0,2.0,3.0,0.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,2.0,5.0,3
47,3.0,3.0,4.0,3.0,4.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,5.0,3.0,4.0,3.0,1
48,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,4.0,1
49,3.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,1
50,4.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,3.0,5.0,4.0,2
51,1.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,1.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,4
52,1.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,3.0,3.0,0.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,3
53,1.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,1
54,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,1
55,5.0,1.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,4.0,4.0,1
56,2.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,3
57,3.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1
58,4.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,5.0,0.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,5.0,2.0,5.0,1
59,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2
60,2.0,1.0,3.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,2
61,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,2
62,5.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,5.0,2
63,4.0,1.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,2
64,1.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,2.0,5.0,1.0,4.0,4.0,4
65,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,5.0,4.0,4.0,4.0,1
